title,chapter,purpose,status,format,source,version,accessibility_text,licence
Digital solutions as organizational interventions,2,Shows that technology creates value through organizational and workflow change.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Shows that technology creates value through organizational and workflow change.,Confirm publisher and author rights before public redistribution.
Institutional readiness architecture,2,Supports readiness assessment and infrastructure discussion.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Supports readiness assessment and infrastructure discussion.,Confirm publisher and author rights before public redistribution.
Human accountability in decision support,3,Clarifies human responsibility within assisted decisions.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Clarifies human responsibility within assisted decisions.,Confirm publisher and author rights before public redistribution.
From signal to action,3,Connects dashboard information with ownership and response.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Connects dashboard information with ownership and response.,Confirm publisher and author rights before public redistribution.
Governance roles and responsibilities,10,Summarizes distributed governance roles and escalation.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Summarizes distributed governance roles and escalation.,Confirm publisher and author rights before public redistribution.
Equity pathway,10,"Connects data, performance, access, action, and outcomes.",Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,"Connects data, performance, access, action, and outcomes.",Confirm publisher and author rights before public redistribution.
Decommissioning decision pathway,12,Shows triggers and staged retirement decisions.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Shows triggers and staged retirement decisions.,Confirm publisher and author rights before public redistribution.
Drift monitoring pathway,12,"Shows the relationship between data change, performance, review, and action.",Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,"Shows the relationship between data change, performance, review, and action.",Confirm publisher and author rights before public redistribution.
Accountability matrix,12,Supports assignment of accountable and responsible roles.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Supports assignment of accountable and responsible roles.,Confirm publisher and author rights before public redistribution.
Equity-weighted evaluation,12,Illustrates the proposed equity-weighted analysis concept.,Proposed framework visual,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Illustrates the proposed equity-weighted analysis concept.,Confirm publisher and author rights before public redistribution.
Trust-adjusted value,12,Illustrates the proposed trust-adjusted value concept.,Proposed framework visual,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Illustrates the proposed trust-adjusted value concept.,Confirm publisher and author rights before public redistribution.
"Tools, methods, and frameworks",12,Distinguishes methodological levels and their uses.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Distinguishes methodological levels and their uses.,Confirm publisher and author rights before public redistribution.
Decision-instrument selection matrix,12,Supports proportionate selection of decision-support instruments.,Illustrative,PNG raster,Secondary figure retained from the fifteen-chapter companion workspace,V1.0,Supports proportionate selection of decision-support instruments.,Confirm publisher and author rights before public redistribution.
AI readiness stack,2,Layered institutional capabilities required for readiness.,Illustrative,PNG raster,Current fifteen-chapter book project,V1.0,Layered institutional capabilities required for readiness.,Confirm publisher and author rights before public redistribution.
Total Cost of Ownership cost stack,6,Illustrates lifecycle cost categories used in the proposed ownership framework.,Proposed framework visual,PNG raster,Current fifteen-chapter book project,V1.0,Illustrates lifecycle cost categories used in the proposed ownership framework.,Confirm publisher and author rights before public redistribution.
Evidence lifecycle,11,Shows evidence maturation from problem definition through post-deployment learning.,Illustrative,PNG raster,Current fifteen-chapter book project,V1.0,Shows evidence maturation from problem definition through post-deployment learning.,Confirm publisher and author rights before public redistribution.
Dossier architecture,12,"Shows the living evidence, economics, governance, implementation, and monitoring dossier.",Proposed process visual,PNG raster,Current fifteen-chapter book project,V1.0,"Shows the living evidence, economics, governance, implementation, and monitoring dossier.",Confirm publisher and author rights before public redistribution.
Lifecycle governance swimlane,12,Shows roles and records across lifecycle stages.,Illustrative,PNG raster,Current fifteen-chapter book project,V1.0,Shows roles and records across lifecycle stages.,Confirm publisher and author rights before public redistribution.
Circular lifecycle for health technology,13,Shows circular value-retention loops constrained by safety and governance.,Illustrative,PNG raster,Current fifteen-chapter book project,V1.0,Shows circular value-retention loops constrained by safety and governance.,Confirm publisher and author rights before public redistribution.
