legacy_resource_id,legacy_title,canonical_resource_id,canonical_title,primary_chapter,primary_chapter_title,aligned_chapters,disposition,canonical_folder,legacy_folder,current_status
AIHE-W,AI Use-Case Canvas,AIHE-A01,Decision and Use-Case Specification,1,AI as a Health-System Intervention,"1,9,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/01/core/AIHE-A01,chapters/01/core/AIHE-A01/supp/AIHE-W,optional
AIHE-X,Decision Problem Template,AIHE-A01,Decision and Use-Case Specification,1,AI as a Health-System Intervention,"1,6,7,8,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/01/core/AIHE-A01,chapters/01/core/AIHE-A01/supp/AIHE-X,optional
AIHE-EX01,Project Intake and Stakeholder Register,AIHE-A02,"Stakeholders, Decision Rights, and Participation",1,AI as a Health-System Intervention,"1,9,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/01/core/AIHE-A02,chapters/01/core/AIHE-A02/supp/AIHE-EX01,optional
AIHE-A,AI Readiness Assessment for Health Systems,AIHE-A03,Institutional Readiness Assessment,2,Institutional Readiness and Digital Foundations,"2,4,9,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/02/core/AIHE-A03,chapters/02/core/AIHE-A03/supp/AIHE-A,optional
AIHE-L,Health-System AI Readiness Maturity Assessment,AIHE-A03,Institutional Readiness Assessment,2,Institutional Readiness and Digital Foundations,"2,4,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/02/core/AIHE-A03,chapters/02/core/AIHE-A03/supp/AIHE-L,optional
AIHE-EX03,Data Source Map and Access Record,AIHE-A04,"Data Source, Provenance, and Fitness Record",2,Institutional Readiness and Digital Foundations,"2,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/02/core/AIHE-A04,chapters/02/core/AIHE-A04/supp/AIHE-EX03,optional
AIHE-Y,Data Quality and Fitness-for-Purpose Assessment,AIHE-A04,"Data Source, Provenance, and Fitness Record",2,Institutional Readiness and Digital Foundations,"2,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/02/core/AIHE-A04,chapters/02/core/AIHE-A04/supp/AIHE-Y,optional
AIHE-U,SHARE-AI Secondary-Use Governance Worksheet,AIHE-A04,"Data Source, Provenance, and Fitness Record",2,Institutional Readiness and Digital Foundations,"2,10,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/02/core/AIHE-A04,chapters/02/core/AIHE-A04/supp/AIHE-U,optional
AIHE-O,HOAM Accountability Workbook,AIHE-C04,Human Oversight and Accountability Matrix,3,Human–AI Decision Support and Managerial Action,"3,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/03/core/AIHE-C04,chapters/03/core/AIHE-C04/supp/AIHE-O,optional
AIHE-Z,ROI and Workflow Value Worksheet,AIHE-B03,Benefit Realization and Capacity Conversion,4,"Productivity, Workforce Redesign, and Implementation","4,6,7",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/04/core/AIHE-B03,chapters/04/core/AIHE-B03/supp/AIHE-Z,optional
