case_id,title,chapter,chapter_title,related_core_resources,related_python_modules,formats,version,status,folder,canonical_folder,browser_demo_path,synthetic_data_status
AIHE-CASE00,Common Case-Analysis Method,0,Cross-chapter resource,AIHE-A01; AIHE-B01; AIHE-C03; AIHE-D02; AIHE-E01,,md; docx; odt; xlsx; ods; csv; json,V1.0,public,worked_examples/00_case_analysis_method,worked_examples/00_case_analysis_method,,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE01,Emergency-Department Triage Portfolio Decision,1,AI as a Health-System Intervention,AIHE-A01; AIHE-W; AIHE-X; AIHE-EX01; AIHE-K; AIHE-H,,md; csv; json; xlsx; ods,V1.0,public,chapters/01/worked_examples/AIHE-CASE01_emergency_department_triage_portfolio_decision,chapters/01/worked_examples/AIHE-CASE01_emergency_department_triage_portfolio_decision,docs/demos/AIHE-CASE01/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE02,Readmission-Model Readiness and Data-Fitness Assessment,2,Institutional Readiness and Digital Foundations,AIHE-A03; AIHE-A; AIHE-L; AIHE-A04; AIHE-EX03; AIHE-Y; AIHE-U,AIHE-PY01; AIHE-PY03; AIHE-PY33,md; csv; json; xlsx; ods,V1.0,public,chapters/02/worked_examples/AIHE-CASE02_readmission_model_readiness_and_data_fitness_assessment,chapters/02/worked_examples/AIHE-CASE02_readmission_model_readiness_and_data_fitness_assessment,docs/demos/AIHE-CASE02/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE03,Deterioration Alert Under Constrained Review Capacity,3,Human–AI Decision Support and Managerial Action,AIHE-EX05; AIHE-EX06; AIHE-C04; AIHE-O; AIHE-I,AIHE-PY06; AIHE-PY21; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx; ods,V1.0,public,chapters/03/worked_examples/AIHE-CASE03_deterioration_alert_under_constrained_review_capacity,chapters/03/worked_examples/AIHE-CASE03_deterioration_alert_under_constrained_review_capacity,docs/demos/AIHE-CASE03/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE03B,Hospital Command Dashboard and Patient Flow,3,Human–AI Decision Support and Managerial Action,AIHE-C01; AIHE-C02; AIHE-C04; AIHE-B03; AIHE-I,AIHE-PY21; AIHE-PY23; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx; ods,V1.0,public,chapters/03/worked_examples/AIHE-CASE03B_hospital_command_dashboard_and_patient_flow,chapters/03/worked_examples/AIHE-CASE03B_hospital_command_dashboard_and_patient_flow,docs/demos/AIHE-CASE03B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE04,Ambient Documentation Assistant: Productivity and Workforce Redesign,4,"Productivity, Workforce Redesign, and Implementation",AIHE-B03; AIHE-Z; AIHE-EX07; AIHE-R; AIHE-EX10,AIHE-PY22; AIHE-PY23; AIHE-PY28,md; csv; json; xlsx; ods,V1.0,public,chapters/04/worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_workforce_redesign,chapters/04/worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_workforce_redesign,docs/demos/AIHE-CASE04/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE05,"AI Quality-Control, Accreditation, and Corrective Action",5,"Quality, Accreditation, and Organizational Learning",AIHE-C01; AIHE-C02; AIHE-I; AIHE-S; AIHE-EX12,AIHE-PY02,md; csv; json; xlsx; ods,V1.0,public,chapters/05/worked_examples/AIHE-CASE05_ai_quality_control_accreditation_and_corrective_action,chapters/05/worked_examples/AIHE-CASE05_ai_quality_control_accreditation_and_corrective_action,docs/demos/AIHE-CASE05/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE06,"Five-Year Lifecycle Cost, Pricing, ROI, and Benefit Realization",6,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01; AIHE-B02; AIHE-B; AIHE-M; AIHE-EX17; AIHE-B03,AIHE-PY10; AIHE-PY11,md; csv; json; xlsx; ods,V1.0,public,chapters/06/worked_examples/AIHE-CASE06_five_year_lifecycle_cost_pricing_roi_and_benefit_realization,chapters/06/worked_examples/AIHE-CASE06_five_year_lifecycle_cost_pricing_roi_and_benefit_realization,docs/demos/AIHE-CASE06/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE07,"Remote Monitoring: Cost-Effectiveness, Budget Impact, and HTA",7,"Economic Evaluation, Affordability, and HTA",AIHE-B04; AIHE-AA; AIHE-EX18; AIHE-EX04; AIHE-AC,AIHE-PY12; AIHE-PY13; AIHE-PY16,md; csv; json; xlsx; ods,V1.0,public,chapters/07/worked_examples/AIHE-CASE07_remote_monitoring_cost_effectiveness_budget_impact_and_hta,chapters/07/worked_examples/AIHE-CASE07_remote_monitoring_cost_effectiveness_budget_impact_and_hta,docs/demos/AIHE-CASE07/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE08,Imaging Prioritization Decision Model and Value of Information,8,Decision Modelling and Simulation Under Uncertainty,AIHE-B05; AIHE-EX15; AIHE-EX16; AIHE-AA,AIHE-PY14; AIHE-PY15; AIHE-PY18; AIHE-PY19; AIHE-PY20,md; csv; json; xlsx; ods,V1.0,public,chapters/08/worked_examples/AIHE-CASE08_imaging_prioritization_decision_model_and_value_of_information,chapters/08/worked_examples/AIHE-CASE08_imaging_prioritization_decision_model_and_value_of_information,docs/demos/AIHE-CASE08/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
AIHE-CASE09,AI Vendor Procurement and Contract Negotiation,9,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D; AIHE-EX08; AIHE-EX09; AIHE-Q; AIHE-EX17,AIHE-PY17; AIHE-PY25,md; csv; json; xlsx; ods,V1.0,public,chapters/09/worked_examples/AIHE-CASE09_ai_vendor_procurement_and_contract_negotiation,chapters/09/worked_examples/AIHE-CASE09_ai_vendor_procurement_and_contract_negotiation,docs/demos/AIHE-CASE09/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.
