Field,Guidance,Institutional response
"Decision, comparator, and functional unit","Define the service delivered, population, quality level, volume, and time horizon.","Compare edge and cloud diagnostic AI per 1,000 quality-assured examinations over five years."
System boundary,"Specify model, data, compute, network, devices, supporting equipment, maintenance, replacement, transport, and disposition included.","Model, data transfer, compute, storage, network, edge hardware, cooling, maintenance, replacement, transport, and disposition."
Conventional outcomes and lifecycle cost,"Report health, service, workforce, quality, and economic outcomes before circular adjustments.","Report diagnostic outcomes, turnaround, staff time, downtime, integration, monitoring, and five-year cost."
Environmental and material effects,"Report energy, water, carbon, virgin and recovered material, waste, and critical dependencies per functional unit.","Report kWh, water, kg CO2e, hardware mass, critical materials, and waste per 1,000 examinations."
Residual and recovered value,"Record useful remaining life, resale, redeployment, take-back, recovery credit, and realization cost.","Record redeployment value, take-back credit, secure-erasure cost, and verified recovery."
Resilience and supply-chain value,"Record redundancy, availability, lead time, dependency, repair capacity, and continuity effects.","Assess connectivity dependence, fallback, repair lead time, parts, and continuity."
Equity and burden distribution,"Identify who benefits, who bears environmental and labor burdens, and which regions or groups are affected.","Assess access and geographic distribution of energy, water, labor, and end-of-life burden."
Monetization and double-counting check,"Explain which effects are monetized, which remain disaggregated, valuation sources, and overlap with conventional costs or outcomes.",Monetize verified energy and carbon only; report other effects separately; avoid duplicate residual value.
Uncertainty and rebound,"Test use, lifetime, performance, prices, disposal, recovery, environmental factors, and induced demand.","Test utilization, model size, hardware life, cloud price, energy mix, recovery rate, and induced demand."
Decision and safeguards,"State conventional and adjusted results, non-compensatory constraints, preferred option, conditions, and review triggers.","Prefer robust total value subject to safety, security, continuity, equity, and verified disposition safeguards."
