Figure,Caption,Editable SVG source
Figure 1,Framework ecosystem for AI and healthcare economics,figures/svg/Figure_01_Framework_ecosystem_for_AI_and_healthcare_economics.svg
Figure 2,AI value chain in health systems,figures/svg/Figure_02_AI_value_chain_in_public_hospitals.svg
Figure 3,AI as an economic intervention,figures/svg/Figure_03_AI_as_an_economic_intervention.svg
Figure 4,Digital solutions as managerial interventions,figures/svg/Figure_04_Digital_solutions_as_managerial_interventions.svg
Figure 5,AI-ready health-system infrastructure,figures/svg/Figure_05_AI_ready_public_hospital_infrastructure.svg
Figure 6,Human-in-the-loop decision support,figures/svg/Figure_06_Human_in_the_loop_decision_support.svg
Figure 7,From dashboard signal to managerial action,figures/svg/Figure_07_From_dashboard_signal_to_managerial_action.svg
Figure 8,Lifecycle learning for quality improvement,figures/svg/Figure_08_Lifecycle_learning_for_quality_improvement.svg
Figure 9,Visible and hidden AI cost layers,figures/svg/Figure_09_Visible_and_hidden_AI_cost_layers.svg
Figure 10,Illustrative AI implementation cost distribution,figures/svg/Figure_10_Illustrative_AI_implementation_cost_distribution.svg
Figure 11,Economic evaluation pathway for AI adoption,figures/svg/Figure_11_Economic_evaluation_pathway_for_AI_adoption.svg
Figure 12,Hospital AI governance model,figures/svg/Figure_12_Hospital_AI_governance_model.svg
Figure 13,Equity pathway for AI-enabled healthcare,figures/svg/Figure_13_Equity_pathway_for_AI_enabled_healthcare.svg
Figure 14,Implementation roadmap for AI in public hospitals,figures/svg/Figure_14_Implementation_roadmap_for_AI_in_public_hospitals.svg
Figure 15,Lifecycle economics and governance,figures/svg/Figure_15_Lifecycle_economics_and_governance.svg
Figure 16,Algorithmovigilance loop,figures/svg/Figure_16_Algorithmovigilance_loop.svg
Figure 17,AI readiness maturity model,figures/svg/Figure_17_AI_readiness_maturity_model.svg
Figure 18,AI decommissioning and replacement pathway,figures/svg/Figure_18_AI_decommissioning_and_replacement_pathway.svg
Figure 19,Living textbook update cycle,figures/svg/Figure_19_Living_textbook_update_cycle.svg
Figure 20,AI-HEVG framework,figures/svg/Figure_20_AI_HEVG_framework.svg
Figure 21,AI Public Hospital Value Chain,figures/svg/Figure_21_AI_Public_Hospital_Value_Chain.svg
Figure 22,Public Hospital AI Readiness Maturity Model,figures/svg/Figure_22_Public_Hospital_AI_Readiness_Maturity_Model.svg
Figure 23,TCAIO five-year ownership profile,figures/svg/Figure_23_TCAIO_five_year_ownership_profile.svg
Figure 24,Trust-Adjusted Value profile,figures/svg/Figure_24_Trust_Adjusted_Value_profile.svg
Figure 25,Equity-Weighted AI Health Economics,figures/svg/Figure_25_Equity_Weighted_AI_Health_Economics.svg
Figure 26,Public Value AI Scorecard,figures/svg/Figure_26_Public_Value_AI_Scorecard.svg
Figure 27,Human Oversight and Accountability Matrix,figures/svg/Figure_27_Human_Oversight_and_Accountability_Matrix.svg
Figure 28,Framework research and validation roadmap,figures/svg/Figure_28_Framework_research_and_validation_roadmap.svg
Figure 29,Integrated framework-and-process lifecycle,figures/svg/Figure_29_Integrated_framework_and_process_lifecycle.svg
Figure 30,AI Health Economics Dossier architecture,figures/svg/Figure_30_AI_Health_Economics_Dossier_architecture.svg
Figure 31,GATED-AI procurement process,figures/svg/Figure_31_GATED_AI_procurement_process.svg
Figure 32,VALIDATE-AI implementation pathway,figures/svg/Figure_32_VALIDATE_AI_implementation_pathway.svg
Figure 33,Adaptive AI Economic Evaluation Cycle,figures/svg/Figure_33_Adaptive_AI_Economic_Evaluation_Cycle.svg
Figure 34,SHARE-AI data governance process,figures/svg/Figure_34_SHARE_AI_data_governance_process.svg
Figure 35,Algorithmovigilance monitoring dashboard,figures/svg/Figure_35_Algorithmovigilance_monitoring_dashboard.svg
Figure 36,AI de-adoption and decommissioning pathway,figures/svg/Figure_36_AI_de_adoption_and_decommissioning_pathway.svg
Figure 37,Integrated responsible AI implementation roadmap,figures/svg/Figure_37_Integrated_responsible_AI_implementation_roadmap.svg
Figure 38,"Tools, methods, methodologies, and frameworks",figures/svg/Figure_38_Tools_methods_methodologies_and_frameworks.svg
Figure 39,Six-layer evaluation model for AI health economics,figures/svg/Figure_39_Six_layer_evaluation_model_for_AI_health_economics.svg
Figure 40,Evidence maturity pathway for healthcare AI,figures/svg/Figure_40_Evidence_maturity_pathway_for_healthcare_AI.svg
Figure 41,Implementation science framework crosswalk,figures/svg/Figure_41_Implementation_science_framework_crosswalk.svg
Figure 42,Evidence synthesis and reporting standards map,figures/svg/Figure_42_Evidence_synthesis_and_reporting_standards_map.svg
Figure 43,Fourteen-week teaching pathway,figures/svg/Figure_43_Fourteen_week_teaching_pathway.svg
Figure 44,AI Health Economics Dossier capstone sequence,figures/svg/Figure_44_AI_Health_Economics_Dossier_capstone_sequence.svg
