Field,Guidance,Institutional response
Decision and comparator,State the incremental decision and all realistic alternatives.,"Compare AI-supported triage with current triage, staffing redesign, and a non-AI score."
"Population, setting, and subgroups","Define eligible volume, uptake, important heterogeneity, and access constraints.","Approximately 48,000 adult visits annually; analyze age, sex, language, socioeconomic vulnerability, and rurality."
Perspective and budget holder,"Distinguish hospital, payer, patient, societal, and environmental perspectives and identify who pays and benefits.",Hospital budget-impact perspective and health-system cost-effectiveness perspective; operating budget pays initially.
"Time horizon, cycle, and discounting","Justify duration, timing of implementation, useful life, updating, residual value, and discount rates.",Three years with monthly budget cycles; apply the current national discounting policy.
Outcome hierarchy,"Separate final health outcomes, intermediate outcomes, process measures, workforce effects, quality, equity, trust, and environmental effects.","Safety, health outcomes, time to assessment, workload, experience, equity, trust, and environmental effects."
Cost boundary,"Include acquisition, data, integration, infrastructure, training, review, governance, monitoring, incidents, updates, support, opportunity cost, and exit where incremental.","Licence, data, integration, validation, training, review, governance, security, monitoring, updates, incidents, and exit."
Analytic approach,"Specify cost-consequence, cost-effectiveness, cost-utility, cost-benefit, budget impact, ROI, multi-criteria, or combined analysis.",Cost-consequence and budget impact for the pilot; net-benefit decision model for scale.
Uncertainty and heterogeneity,"Define deterministic, probabilistic, scenario, threshold, structural, subgroup, and value-of-information analyses.","Scenario, threshold, probabilistic, subgroup, structural, and value-of-information analyses."
Decision rule and safeguards,"State willingness-to-pay or net-benefit rule, affordability threshold, mandatory safeguards, and conditions.","Positive expected net benefit and affordable cash flow, subject to mandatory safety, lawful-use, equity, oversight, and shutdown safeguards."
Reporting and validation,"Record model version, evidence date, technical verification, face validity, external review, reproducibility, and archive location.","Model v1.0; independent code review, trace testing, clinical face validity, and archived environment."
