Week,Reading focus,Class activity,Dossier deliverable
1,AI as economic intervention,Use-case workshop,Problem brief
2,Health economics,Decision problem lab,Comparator and perspective
3,Infrastructure,Data mapping,Data architecture
4,Data governance,Secondary-use debate,Governance memo
5,Validation,Appraisal seminar,Validation plan
6,Dashboards,KPI design,Dashboard specification
7,TCAIO,Costing lab,Five-year cost model
8,ROI,Workflow study,ROI critique
9,CEA/CUA,ICER lab,Economic model
10,BIA and uncertainty,Scenario workshop,Affordability table
11,Procurement,Vendor hearing,Scorecard
12,Ethics and risk,Risk simulation,Mitigation plan
13,Implementation,Framework crosswalk,Pilot roadmap
14,Capstone,Board hearing,Final dossier
