Cost layer,Resource or pricing unit,Quantity,Unit cost,Year(s),Low,High,Budget owner,Evidence and notes
Acquisition and licence,Synthetic example for Acquisition and licence; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Clinical service lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
Data preparation and governance,Synthetic example for Data preparation and governance; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Quality lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
Integration and infrastructure,Synthetic example for Integration and infrastructure; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Data steward,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
Validation and assurance,Synthetic example for Validation and assurance; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Health economist,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
"Training, workflow, and review","Synthetic example for Training, workflow, and review; replace with local evidence.","2,500",€4.50,2026-07-31,€4.00,€5.50,Procurement lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
"Quality, ethics, legal, and audit","Synthetic example for Quality, ethics, legal, and audit; replace with local evidence.","2,500",€4.50,2026-07-31,€4.00,€5.50,Clinical service lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
"Cybersecurity, resilience, and incidents","Synthetic example for Cybersecurity, resilience, and incidents; replace with local evidence.","2,500",€4.50,2026-07-31,€4.00,€5.50,Quality lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
"Monitoring, updating, and support","Synthetic example for Monitoring, updating, and support; replace with local evidence.","2,500",€4.50,2026-07-31,€4.00,€5.50,Data steward,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
Opportunity cost and displaced capacity,Synthetic example for Opportunity cost and displaced capacity; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Health economist,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
"Exit, transition, and decommissioning","Synthetic example for Exit, transition, and decommissioning; replace with local evidence.","2,500",€4.50,2026-07-31,€4.00,€5.50,Procurement lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
Residual value or recovery credit,Synthetic example for Residual value or recovery credit; replace with local evidence.,"2,500",€4.50,2026-07-31,€4.00,€5.50,Clinical service lead,Synthetic local baseline report; controlled dataset v1.2; evidence cut-off 2026-01-31.
