Week,Theme,Core chapters,Applied activity
1,Why AI needs healthcare economics,"Introduction, Chapter 1",Map an AI value chain for one hospital problem
2,Healthcare economics foundations,Chapter 2,Compare three competing investment options
3,Digital solutions as managerial interventions,Chapter 3,Diagnose digital fragmentation in a fictional hospital
4,AI-ready infrastructure and interoperability,Chapter 4,Create a data-readiness checklist
5,Health data governance and secondary use,Chapter 5,Draft a data governance pathway for AI validation
6,AI decision support in public hospitals,Chapter 6,Analyze human oversight in a deterioration-alert case
7,Dashboards and data-driven management,Chapter 7,Design a dashboard for patient flow
8,"AI, productivity, and quality improvement",Chapters 8-9,Evaluate whether AI reduces or shifts workload
9,"ROI, cost, and value",Chapter 10,Build a total cost of ownership table
10,Cost-effectiveness and budget impact,Chapter 11,Prepare a simplified budget impact analysis
11,Procurement and ethical governance,Chapters 12-14,Review a vendor proposal using governance criteria
12,Implementation and final synthesis,"Chapter 15, Conclusion",Present an AI adoption decision memo
