Criterion,Requirement and evidence,Score,Lifecycle and economic implication,"Risk, safeguard, and contract term",Owner and decision
Durability and supported life,,,,,
"Modularity, upgradeability, and component availability",,,,,
Repairability and maintenance information,,,,,
"Interoperability, portability, and avoidance of lock-in",,,,,
"Energy, water, carbon, material, and utilization information",,,,,
"Product circularity, provenance, and recovery information",,,,,
"Take-back, refurbishment, remanufacture, and recovery",,,,,
"Secure erasure, chain of custody, and disposition evidence",,,,,
"Pricing, residual value, risk sharing, and exit",,,,,
