Field,Guidance,Institutional response
Service problem and baseline burden,"Describe the unmet clinical, operational, workforce, quality, accreditation, or public-health need using measurable baseline evidence.",
Population and setting,"Define included and excluded populations, services, locations, and time periods.",
AI-enabled intervention,"Describe the complete intervention bundle: data, model, interfaces, thresholds, users, review, workflow, downstream action, monitoring, support, and exit.",
Realistic comparators,"Record current practice, process redesign, staffing, equipment, conventional digital tools, alternative AI, shared service, and no-change options where relevant.",
Decision-maker and perspective,"Identify the authority making the decision and the hospital, health-system, payer, patient, societal, or combined perspective.",
Primary and balancing outcomes,"Define clinical, operational, quality, accreditation, workforce, economic, equity, trust, environmental, and safety outcomes.",
Time horizon and decision window,State the analytic horizon and the time within which an output must lead to action.,
Value mechanism,"Explain how the intervention is expected to change a decision, action, outcome, resource consequence, and public value.",
Decision rule,"Define proceed, redesign, silent validation, pilot, conditional adoption, scale, restrict, pause, replace, or retire criteria.",
Evidence cut-off and next review,"Record the last evidence date, responsible reviewer, planned review date, and trigger events.",
