Domain,Assessment question,0–4,"Evidence, gap, prerequisite, and owner"
Strategic alignment,Is the problem linked to documented health-system priorities and realistic alternatives?,3,Clinical service lead
Data fitness,"Are required data lawful, available, timely, representative, traceable, and sustainable?",3,Quality lead
Interoperability,Can inputs and outputs be exchanged and interpreted consistently within the decision window?,3,Data steward
Infrastructure and resilience,"Are identity, access, compute, storage, interfaces, logging, fallback, and recovery adequate?",3,Health economist
Workflow and downstream capacity,Can users interpret the output and take the intended action without shifting unsafe burden?,3,Procurement lead
Workforce capability,"Are roles, training, competency, supervision, and professional responsibilities defined?",3,Clinical service lead
Quality and accreditation,"Are controls, indicators, evidence, incident processes, and improvement responsibilities integrated?",3,Quality lead
Economics and affordability,"Are lifecycle costs, resource constraints, benefits, uncertainty, and budget exposure understood?",3,Data steward
Governance and assurance,"Are decision rights, safeguards, independent review, monitoring, and authority to stop defined?",3,Health economist
Procurement and vendor readiness,"Can evidence, audit, updates, data rights, support, pricing, portability, and exit be contracted?",3,Procurement lead
Circularity and sustainability,"Are resource demand, asset life, maintenance, take-back, residual value, and disposition considered where material?",3,Clinical service lead
