Field,Guidance,Institutional response
"Decision, comparator, and functional unit","Define the service delivered, population, quality level, volume, and time horizon.",
System boundary,"Specify model, data, compute, network, devices, supporting equipment, maintenance, replacement, transport, and disposition included.",
Conventional outcomes and lifecycle cost,"Report health, service, workforce, quality, and economic outcomes before circular adjustments.",
Environmental and material effects,"Report energy, water, carbon, virgin and recovered material, waste, and critical dependencies per functional unit.",
Residual and recovered value,"Record useful remaining life, resale, redeployment, take-back, recovery credit, and realization cost.",
Resilience and supply-chain value,"Record redundancy, availability, lead time, dependency, repair capacity, and continuity effects.",
Equity and burden distribution,"Identify who benefits, who bears environmental and labor burdens, and which regions or groups are affected.",
Monetization and double-counting check,"Explain which effects are monetized, which remain disaggregated, valuation sources, and overlap with conventional costs or outcomes.",
Uncertainty and rebound,"Test use, lifetime, performance, prices, disposal, recovery, environmental factors, and induced demand.",
Decision and safeguards,"State conventional and adjusted results, non-compensatory constraints, preferred option, conditions, and review triggers.",
