resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path
AIHE-PY01,01,"Data quality, fitness-for-purpose, and mapping audit",2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit/python/01_data_quality_and_mapping.py,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit/notebook/01_data_quality_and_mapping.ipynb,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit/data/xlsx/01_data_quality_and_mapping_template.xlsx,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit/data/ods/01_data_quality_and_mapping_template.ods,chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit/outputs/example
AIHE-PY03,03,Missing-data sensitivity analysis,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis/python/03_missing_data_sensitivity.py,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis/notebook/03_missing_data_sensitivity.ipynb,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis/data/xlsx/03_missing_data_sensitivity_template.xlsx,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis/data/ods/03_missing_data_sensitivity_template.ods,chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis/outputs/example
AIHE-PY33,33,Patient or service segmentation using clustering,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04,AIHE-CASE02,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering/python/33_patient_segmentation_clustering.py,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering/notebook/33_patient_segmentation_clustering.ipynb,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering/data/xlsx/33_patient_segmentation_clustering_template.xlsx,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering/data/ods/33_patient_segmentation_clustering_template.ods,chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering/outputs/example
AIHE-PY06,06,Decision-curve analysis,3,Human–AI Decision Support and Managerial Action,"3, 7, 11",AIHE-C04; AIHE-B05,AIHE-CASE03,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis,AIHE-CASE03,,AIHE-CASE03,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis/python/06_decision_curve_analysis.py,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis/notebook/06_decision_curve_analysis.ipynb,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis/data/xlsx/06_decision_curve_analysis_template.xlsx,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis/data/ods/06_decision_curve_analysis_template.ods,chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis/outputs/example
AIHE-PY21,21,Discrete-event simulation of hospital flow,3,Human–AI Decision Support and Managerial Action,"3, 8",AIHE-B05; AIHE-C04,AIHE-CASE03,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow/python/21_discrete_event_hospital_flow.py,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow/notebook/21_discrete_event_hospital_flow.ipynb,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow/data/xlsx/21_discrete_event_hospital_flow_template.xlsx,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow/data/ods/21_discrete_event_hospital_flow_template.ods,chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow/outputs/example
AIHE-PY34,34,"Time-series forecasting for demand, capacity, and budget planning",3,Human–AI Decision Support and Managerial Action,"3, 6, 8, 13",AIHE-C01; AIHE-B03,AIHE-CASE03,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning/python/34_time_series_forecasting.py,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning/notebook/34_time_series_forecasting.ipynb,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning/data/xlsx/34_time_series_forecasting_template.xlsx,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning/data/ods/34_time_series_forecasting_template.ods,chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning/outputs/example
AIHE-PY35,35,Constrained resource-allocation optimization,3,Human–AI Decision Support and Managerial Action,"3, 8, 13",AIHE-B05,AIHE-CASE03,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization/python/35_resource_allocation_optimization.py,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization/notebook/35_resource_allocation_optimization.ipynb,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization/data/xlsx/35_resource_allocation_optimization_template.xlsx,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization/data/ods/35_resource_allocation_optimization_template.ods,chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization/outputs/example
AIHE-PY22,22,"System-dynamics model of adoption, capacity, and value",4,"Productivity, Workforce Redesign, and Implementation","4, 8, 12",AIHE-B03; AIHE-D02,AIHE-CASE04,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value,AIHE-CASE04,,AIHE-CASE04,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value/python/22_system_dynamics_adoption_capacity.py,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value/notebook/22_system_dynamics_adoption_capacity.ipynb,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value/data/xlsx/22_system_dynamics_adoption_capacity_template.xlsx,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value/data/ods/22_system_dynamics_adoption_capacity_template.ods,chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value/outputs/example
AIHE-PY23,23,Agent-based simulation of clinician adoption,4,"Productivity, Workforce Redesign, and Implementation","4, 8, 12",AIHE-D02; AIHE-RG03,AIHE-CASE04,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption,AIHE-CASE04,AIHE-CASE03B,AIHE-CASE04; AIHE-CASE03B,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption/python/23_agent_based_clinician_adoption.py,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption/notebook/23_agent_based_clinician_adoption.ipynb,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption/data/xlsx/23_agent_based_clinician_adoption_template.xlsx,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption/data/ods/23_agent_based_clinician_adoption_template.ods,chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption/outputs/example
AIHE-PY28,28,"Workflow time, capacity, productivity, and benefit realization",4,"Productivity, Workforce Redesign, and Implementation","4, 6",AIHE-B03,AIHE-CASE04,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization,AIHE-CASE04,,AIHE-CASE04,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization/python/28_workflow_productivity.py,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization/notebook/28_workflow_productivity.ipynb,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization/data/xlsx/28_workflow_productivity_template.xlsx,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization/data/ods/28_workflow_productivity_template.ods,chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization/outputs/example
