Requirement,Evidence or clause requested,Independent and local verification,Risk if absent or incorrect,Remedy and exit position,Owner and status
"Intended use, excluded use, population, and version",,,,,
"Clinical, technical, human-factors, and economic evidence",,,,,
"Interoperability, data quality, provenance, and portability",,,,,
"Privacy, cybersecurity, resilience, subprocessors, and incidents",,,,,
"Pricing units, volume exposure, integration, support, and escalation",,,,,
"Updates, material change, validation, approval, rollback, and notice",,,,,
"Monitoring data, audit rights, logs, model card, and assurance cooperation",,,,,
"Service levels, downtime, fallback, continuity, and support",,,,,
"Termination, transition, deletion, archive, take-back, and decommissioning",,,,,
