Field,Guidance,Institutional response
Decision and comparator,State the incremental decision and all realistic alternatives.,
"Population, setting, and subgroups","Define eligible volume, uptake, important heterogeneity, and access constraints.",
Perspective and budget holder,"Distinguish hospital, payer, patient, societal, and environmental perspectives and identify who pays and benefits.",
"Time horizon, cycle, and discounting","Justify duration, timing of implementation, useful life, updating, residual value, and discount rates.",
Outcome hierarchy,"Separate final health outcomes, intermediate outcomes, process measures, workforce effects, quality, equity, trust, and environmental effects.",
Cost boundary,"Include acquisition, data, integration, infrastructure, training, review, governance, monitoring, incidents, updates, support, opportunity cost, and exit where incremental.",
Analytic approach,"Specify cost-consequence, cost-effectiveness, cost-utility, cost-benefit, budget impact, ROI, multi-criteria, or combined analysis.",
Uncertainty and heterogeneity,"Define deterministic, probabilistic, scenario, threshold, structural, subgroup, and value-of-information analyses.",
Decision rule and safeguards,"State willingness-to-pay or net-benefit rule, affordability threshold, mandatory safeguards, and conditions.",
Reporting and validation,"Record model version, evidence date, technical verification, face validity, external review, reproducibility, and archive location.",
