Domain,Assessment question,0–4,"Evidence, gap, prerequisite, and owner"
Strategic alignment,Is the problem linked to documented health-system priorities and realistic alternatives?,,
Data fitness,"Are required data lawful, available, timely, representative, traceable, and sustainable?",,
Interoperability,Can inputs and outputs be exchanged and interpreted consistently within the decision window?,,
Infrastructure and resilience,"Are identity, access, compute, storage, interfaces, logging, fallback, and recovery adequate?",,
Workflow and downstream capacity,Can users interpret the output and take the intended action without shifting unsafe burden?,,
Workforce capability,"Are roles, training, competency, supervision, and professional responsibilities defined?",,
Quality and accreditation,"Are controls, indicators, evidence, incident processes, and improvement responsibilities integrated?",,
Economics and affordability,"Are lifecycle costs, resource constraints, benefits, uncertainty, and budget exposure understood?",,
Governance and assurance,"Are decision rights, safeguards, independent review, monitoring, and authority to stop defined?",,
Procurement and vendor readiness,"Can evidence, audit, updates, data rights, support, pricing, portability, and exit be contracted?",,
Circularity and sustainability,"Are resource demand, asset life, maintenance, take-back, residual value, and disposition considered where material?",,
