Week,Theme,Core chapters,Applied activity
1,AI as a health-system and economic intervention,Chapters 1–3,"Define a problem, comparator, value hypothesis, and opportunity cost."
2,"Data, infrastructure, and secondary use",Chapters 4–5,"Complete readiness, data-source, and secondary-use records."
3,Human–AI decision support,Chapter 6,"Specify decision window, delegation, uncertainty, oversight, and fallback."
4,"Dashboards, workforce, quality, and accreditation",Chapters 7–9,"Map indicators, workload transfer, and learning-system controls."
5,Lifecycle cost and benefit realization,Chapter 10,Build TCAIO and benefit-realization records.
6,"CEA, affordability, HTA, and uncertainty",Chapter 11,"Specify CEA/BIA, HTA layer, thresholds, and evidence needs."
7,"Procurement, pricing, vendors, and contracts",Chapter 12,Challenge vendor claims and draft contract conditions.
8,"Ethics, accountability, privacy, cybersecurity, equity, and trust",Chapters 13–14,"Complete governance, risk, equity, and communication records."
9,"Implementation, lifecycle governance, and de-adoption",Chapters 15–16,"Design implementation, cadence, incidents, material change, and stopping rules."
10,"Integrative frameworks, lifecycle processes, and cases",Chapters 17–19,Assemble a conditional decision and apply it to a case.
11,Evaluation architecture and health-economic modeling,Chapters 20–21,Select analytic and simulation methods from the decision structure.
12,Evidence lifecycle and causal evaluation,Chapters 22–23,Design local validation and causal/implementation evaluation.
13,Computational and decision-support instruments,Chapter 24,Run a synthetic module and produce an auditable decision output.
14,"Circular health systems, procurement, asset life, and sustainable value",Chapters 25–27,Complete CE1–CE7 and present the final AI-HED recommendation.
