Field,Guidance,Institutional response
Service problem and baseline burden,"Describe the unmet clinical, operational, workforce, quality, accreditation, or public-health need using measurable baseline evidence.",Median emergency-department time to clinical prioritization is 42 minutes; 18% of high-risk patients wait longer than the local target.
Population and setting,"Define included and excluded populations, services, locations, and time periods.","Adults in two urban emergency departments; pediatric, obstetric, and major-trauma pathways excluded from the initial pilot."
AI-enabled intervention,"Describe the complete intervention bundle: data, model, interfaces, thresholds, users, review, workflow, downstream action, monitoring, support, and exit.","Version-controlled risk service using EHR data, nurse confirmation, documented override, escalation, monitoring, and rollback."
Realistic comparators,"Record current practice, process redesign, staffing, equipment, conventional digital tools, alternative AI, shared service, and no-change options where relevant.","Current triage, revised streaming, additional triage staffing, and a non-AI early-warning score."
Decision-maker and perspective,"Identify the authority making the decision and the hospital, health-system, payer, patient, societal, or combined perspective.",Hospital executive committee; hospital and health-system perspectives with patient and environmental effects reported separately.
Primary and balancing outcomes,"Define clinical, operational, quality, accreditation, workforce, economic, equity, trust, environmental, and safety outcomes.","Time to assessment, missed deterioration, false-alert burden, workload, subgroup access, staff experience, lifecycle cost, and continuity."
Time horizon and decision window,State the analytic horizon and the time within which an output must lead to action.,Three-year economic horizon; output must arrive within five minutes of triage documentation.
Value mechanism,"Explain how the intervention is expected to change a decision, action, outcome, resource consequence, and public value.","Earlier identification changes escalation timing, reduces avoidable harm, and preserves scarce response capacity."
Decision rule,"Define proceed, redesign, silent validation, pilot, conditional adoption, scale, restrict, pause, replace, or retire criteria.","Proceed to silent-mode validation only if data completeness exceeds 95%, subgroup calibration is acceptable, and fallback is tested."
Evidence cut-off and next review,"Record the last evidence date, responsible reviewer, planned review date, and trigger events.",Evidence cut-off 2026-01-31; owner Director of Quality; next review 2026-07-31 or upon material change.
