Week,Theme,Core chapters,Applied activity
1,Foundations and decision problem,Chapters 1–3,Use-case canvas and decision specification.
2,"Data, readiness, and secondary use",Chapters 4–5,Readiness and data-governance records.
3,"Human–AI decisions, dashboards, and quality",Chapters 6–9,Decision-support and indicator design.
4,"Cost, ROI, and benefit realization",Chapter 10,TCAIO and capacity-conversion exercise.
5,"Cost-effectiveness, HTA, affordability, and uncertainty",Chapter 11,CEA/BIA/HTA scenario.
6,"Procurement, governance, privacy, cybersecurity, equity, and trust",Chapters 12–14,Vendor and governance review.
7,"Implementation, lifecycle monitoring, and de-adoption",Chapters 15–16,Implementation and algorithmovigilance plan.
8,"Frameworks, processes, and applied decisions",Chapters 17–19,Dossier and decision memo.
9,"Methods, modeling, evidence, and causal evaluation",Chapters 20–23,Method selection and evidence plan.
10,Computational instruments,Chapter 24,Synthetic analytics laboratory.
11,Circular health systems and circular procurement,Chapters 25–26,Circularity hierarchy and asset-life decision.
12,Circularity-adjusted evaluation and capstone,Chapter 27,Sustainable-value evaluation and final presentation.
